,Song,Artist,Lyricist,Composer,Lyric
0,甘ったるいタルト,"
Rin音",Rin音,Rin音・Pri2m,瞬きがシャッターなら既にfallin love メモリ内のピクチャーは君でフルだ 少し照れくさくともがっつくlove 微妙な距離感が心地いい 実際のとこどう出来てんでしょって まぁそんな感じかもね 照れ臭いフレーズで はみ出る愛と惚気る2人 溶け出しちまいなよほらbaby 愛＋愛は会いたすぎる解 ネガに負けちゃいつも君はすぐに眠れない トッピングのストロベリーバナナキウイパイン 欲張るからこぼしちゃってあららバカみたい いつもしてる話オチがなくてつまらない だけど幸せだと信じたら疑わない 間違いないのさこれはずっと変わらない と、きみを前にしたらなぜか言葉にできないよ 甘ったるいタルトがひとかけら ベロの上でとろけた 僕の想い溢れた 三角な言葉消したら満点に変わる 憂鬱のメリーゴーランド日を灯したworld 明日天気になれ君隣でつぶやく 甘ったるい甘ったるいな ねぇ君気づいてる？あの場所で出会ったっけ 初デート腰掛けたベンチもなくなっちゃって 画数の足りてない漢字見たくなっちゃって 読めないことないけどもの足んなくってさ いい感じに痛々しい告白もしたんだっけ 今は忌々しいし今だにただ恥ずかしい でもさ今だからわかることがあるって思う リリシズム置き去りで熱を出す 明日の明日も愛しているかい 答え明らかにて口に出すことをしない それじゃたまに起こっちゃうよ君とすれ違い 愛してるのにってほらね僕もバカみたい 後悔ならいつも先に立つことをしない 初々しい気持ちスプーン使い口にポイ 思い出したならばちゃんと繋ぎ離さない 言葉にしとこうよ甘い甘い想いたちを 甘ったるいタルトがひとかけら ベロの上でとろけた 僕の想い溢れた 三角な言葉消したら満点に変わる 憂鬱のメリーゴーランド日を灯したworld 明日天気になれ君隣でつぶやく 甘ったるい甘ったるいな
1,earth meal feat. asmi,"
Rin音",Rin音・asmi,Rin音・Henrii,even if the earth is broken 私達ずっと歌っていようよ hoohoohooヘタクソねhoohoohoo どうなったっていいや もう 私達きっと2人ならさ 隕石だって良い天気だって笑ってながせる 馬鹿だな 『over sleep boy 如何かな』 無線機越し 腹たつわ 時刻 10 o'clock 今日もここ(地球) space ship 乗り遅れ 原因：寝坊 皆移住に夢中 俺未だ地球 彼女も乗り遅れてI want you 飾らない服 しない退屈 結果なかなかいいかもな だってさ 君と僕のテーマパーク はしゃぐだけはしゃぎ ふらり夜のコンビニ 悪とヤンキーいないらしい ドラマチック映画館で 昨日の動画流し いつかするよプロポーズ 地球を君にあげるし 多分全部照れくさくて ぎこちないけどさ アルバムが1億冊は出来てしまうんだ このくらいにしておいて もう今日は眠ろうか even if the earth is broken 私達ずっと歌っていようよ hoohoohooヘタクソねhoohoohoo どうなったっていいや もう 私達きっと2人ならさ 隕石だって良い天気だって笑ってながせる 馬鹿だな とはいえ君の顔にも飽きたな 愛燦燦な日々もう終わったな いつまで寝てんだ バカヤローって ほっぺつねって鬱憤晴らす ねぇ何してんの？見せてよ見せてよ でも隠し続けるそれが お花の冠だったりするから 移り住めないな君 クールぶってて中身は暖かい やはり今晩も君の料理は美味い サプライズがバレるのいつものことだが 喜ぶ君の姿が見たいから 間抜けで良かったなんて思えるよ 惑星も何処にいても君といられると even if the earth is broken 私達ずっと歌っていようよ hoohoohooヘタクソねhoohoohoo どうなったっていいや もう 私達きっと2人ならさ 隕石だって良い天気だって笑ってながせる 馬鹿だな 四季巡る星に住んでる 救世主は流星群 センキューグッバイthe earth men 2人きり夜が明けてく 最後の朝はきっとこんな感じだ 世界が終わってしまっても 私からずっと離れないでいて hoohoohoo必ずねhoohoohoo どうなったっていいや もう 私達きっと2人ならさ 隕石だっていい天気だって笑って流せる 死ぬまで 一緒にいてねなんてジョーク 笑えない日々に流れ星を見たよ hoohoohoo綺麗だねhoohoohooどうなったっていいな もう 何があってもふたりでいようか 隕石だっていい天気だって笑ってながせる 馬鹿だな
2,April true,"
Rin音",Rin音,Rin音・Taro Ishida,ちょっと不安気味boyは忍び足 だって前代未聞の話だし 多分教科書に載るくらいのシーン ニュースはこれでひっきりなしらしい チャイムなしで刻む秒針は じっとしてても待ってくれはしないらしい いつも通りにいかないこの街も あの街も仲間が潜むらしい 魔法みたいなものはないけどさ いつか何かになれたらいいなってさ 思い疲れて一休み 忘れ物なしで君はよくやれてるから Alone night study 君はヒーロー April true 嘘みたいな今日のチャンピオン 辛い今も きつい過去も 眠い時間も 青い春も 全部本当のことApril true ここからどこでもいける時代だ 君の知らない世界まで 想像はいつでもちょっと邪魔をして 君の行く手を阻むかも あれはできそうで これは無理そうって 本当に全て？ やる前に決めてちゃ 絶対に勿体ないからさ 向かい合う敵が ドッペルゲンガー 己ならばさ 弱点は案外 君の弱気なのかも 迷う選択肢に 答えってないのかもしれないけど 魔法みたいなものはないけどさ いつか必ず何かになるからさ 思い疲れて一休み 忘れ物なしで君はやれてるから Alone night study 君はヒーロー April true 嘘みたいな今日のチャンピオン 辛い今も きつい過去も 眠い時間も 青い春も 全部本当のことApril true Alone night study  君はヒーロー April true 嘘みたいな今日のチャンピオン 熱い夢も この痛みも 消えた時間も この想いも 全部本当のことApril true
3,SNS を愛してる,"
Rin音",Rin音,Rin音・Shun Maruno,少し洒落っ気づいたフリして 家でながしてるVHS どう？僕ってお洒落でしょ 画面越し偽物のストーリー Instagramは既に君が見てて もう十分満足げ でも現実は大差ない話しさ 録画済みのとっておきは決まってブルーレイ Ring a Ring a bell Ring a Ring a bell tinkerbell も待ってる 鳴ってるTEL 何分待たせる？ Ring a Ring a bell Ring a Ring a bell ちょっとまってて インスタ映え ごめんお待たせ 全く嘘ではないよ なんて見てられないよ 丸い角砂糖 苦くて飲めないよ 大人びた君が好きなんじゃない 乾涸びたシミを愛してた このまま明日のように過ぎ去って 愛した過去も薄れていって 記憶をペンでなぞり濃くして 虚しさだけが溢れかえってる I loved you darling 愛してたdarling 消せないLine Talking to. About me. You were my honey 愛されたhoney 繋がらないLine Never looking back with. ねぇ一体何が本当の目的 ねぇ一体何が愛情のものさし 時計は3時を回っているのに 変身はとけない 精神は12時前 Ring a Ring a bell Ring a Ring a bell SNSで適当に呟いた好きの言葉で愛が深まるって Ring a Ring a bell Ring a Ring a bell ねぇtinkerbell 死ぬほど愛してもまだ死ねない このまま明日のように過ぎ去って 愛した過去も薄れていって 記憶をペンでなぞり濃くして 虚しさだけが溢れかえってる I loved you darling 愛してたdarling 消せないLine Talking to. About me. You were my honey 愛されたhoney 繋がらないLine Never looking back with.
4,overzone,"
Rin音",Rin音,Rin音・maeshima soshi,I'm player1 I'm player1 COMくらいじゃもう追いつけない 経験論なんてもんもうアテにならない くらいに現実の中でも夢見てる 突破口ゼロに近くても悪くはない ゲージ瀕死に近くてもラックでalright 一般兵の快進撃スタートボタンでショータイム ステータスが低くても気にならない だってさ 関羽とか呂布とか趙雲とか跳ね飛ばし次のlevel 敵とか見えちゃない赤兎馬乗りこなしBOSSに迎撃 黒魔法 魔の波動 躱して 使いこなす見事命中 見えてる 逃げてる心に 恐れていたんだ 違くてみんな良い そんなの知らない 自分にないものが欲しくて仕方ない 枯渇した魂 欲望のままに クソみたいな愛を歌うの ありふれた今と 不確かな今日を このままいけば forever 夢は何処 目覚めを繰り返す この世界は 狭めてる可能性に求めたいんだ give me give me overzone give me give me overzone もういっそ超早いspeed目に止まらんsteelo ハバネロ刺激も足りないくらいにfeelよ あの日の悲劇も今ちょうどいいthinkと 思わせるHEROになるための決闘 今の敵も全部明日の君が勝つため 時計の針が0を指して日は沈んだままでいい 地図がない世界で必要なのは運となんだっけ 俺は知らないままでいい 俺は知らないままでいい ねぇfloating darling 浮ついた愛 東京だってどこだって答えはない 催眠行為 挑戦的BOY 逃げたい時には逃げちゃいたい みんな違くてみんな良い そんなの知らない 自分に無いものが欲しくて仕方ない 枯渇した魂 欲望のままに クソみたいな愛を歌うの ありふれた今と 不確かな今日を このままいけば forever 夢は何処 目覚めを繰り返す この世界は 狭めてる可能性に求めたいんだ give me give me overzone give me give me overzone ありふれた今と 不確かな今日を 握り締めては 声で叫びたいの 殴られ傷ついたこの痛みも 喜びと綺麗に残したいの give me give me overzone give me give me overzone
5,gift socks,"
Rin音",Rin音,Rin音・Taro Ishida,想いは筒抜け 開く口と目が 魔法は解けないでほしい 死と生は反比例 幼くても分かるように 出来上がったシステム 気づく8の歳 薄汚れた感謝 理由は簡単 生意気に恥じ気にして笑った 笑顔は誤魔化しの道具じゃない マスクの脱ぎ方 あの時教わった なぁ親父 街はやっぱ汚かった 俺は歌にしかできなかった けど今日も雪が降る 美しいと思えるようになれないけど Santa Claus' funeral 誰かのため 歯並びの悪いトナカイは 走るよ 行き先遠く Santa Claus' funeral 枕元に かけたビスケット 汚く見えない 汚れてるのにな 穴開けた壁 ボロい部屋の中 父がふざけ寝てみてる母と子 断片的にない記憶だからこそ 遊園地に行った次の日みたいでさ 形に残らないからなのか ようやく大事にしたいと思えるらしい まが抜けてるバカでありたい なぁ母よ 靴下は空じゃなくて なぜかいつも何かが詰まって 優しさってなんなのかすらも未だに掴めない Santa Claus' funeral 誰かのため 歯並びの悪いトナカイは 走るよ 行き先遠く Santa Claus' funeral 枕元に おいたプレゼント うちの家にはさ 煙突ないのに 想いは筒抜け 開く口と目が 魔法は解けないでほしい 綺麗事くらい 綺麗にしていたい 魔法の力のせいで
6,琥珀の目,"
Rin音",Rin音,Rin音・Taro Ishida,車窓から眺めた景色は未だに頭にあってさ 身体中に染み付いた言葉が忘れさせてくれないのさ 眠気を失くして 今宵だけ城下に紛れて 愛に例ふガラケー 童歌流れ届く恋文を ゆらりゆらりと揺れる髪 どことなく後ろめたい高鳴り 歩みのスピードだけそのままに 眼前の出来事は唐突に 天に打ち上がる色と灯り 花を模したゆえ時儚い 繋ぐことのできぬ左手と 夕闇に隠された想いを 機を待つ言葉に 嗚呼、晴天下 小春日和 年が周りかけ老う記憶も 敢然と頭に佇むの 嗚呼、晴天下 小春日和 今宵旅は夜もすがら 音、光の中 駆けて涙を流す 滑稽だ 調子ならどう？ 聴きたくなるよ こっちならさ上手くやってるから 背が伸びて少し太ったよ だらしなさがいつも取り柄だし あの日以来とかじゃないし 心配性の副効果的なことで 君を思い出したりしなかったり 刻一刻と流れ行くよ 愛に 迷いに 嗚呼、晴天下 小春日和 年が周りかけ老う記憶も 敢然と頭に佇むの 嗚呼、晴天下 小春日和 今宵旅は夜もすがら 音、光の中 駆けて あぁ駆けて 調子ならどう？ 聴きたくなるよ こっちならさ上手くやってるから
7,Summer film's feat.クボタカイ、空音,"
Rin音",Rin音・空音・クボタカイ,Rin音・Shun Maruno,"to 隣街 電車待ち 「えっ、いやちょっと待ってくれよこれどっち？」(あっち！) 到着地 is 未踏の地 線路越しのビーチ 伸びる畦道 (ぷしゅ！)「熱っち～」サイダァ1口 予定は未定 防波堤の奥地 夏疾風 なびく髪と顔立ち ふらっと立ち寄った喫茶店でランチ “あーもう！なんなんこの生き物可愛すぎるわしんどい”って テレパシーで しれっと 伝わってくれりゃいいのに not my girl、言えないな “この一杯終わったら言っちゃいな” 「美味しかったありがとうね！」 「喋りすぎてしんどい(笑)」って 笑い合って「じゃあ出よ」ってそっと椅子を引くとき 「あのさ、今日誘ったのは、笑わないで聞いてくれ」 I want you. Get you. ガムシャラなloveに夢うつつ 見栄えの悪い景色すらso good 目まぐるしく回る日々emotion 今年の夏は熱くなるよな 明日の天気は晴れになるかな この想いは変わらないから 君をずっと愛してるから 次会えんのはいつだっけ イーアルサンスー(1、2、3、4) できないよ足し引き知んない算数 浮ついちゃう講義中は君に目線集中 空中にはハテナ浮かび青い春を吸収 やっとこさで交換したラインも 素っ気なかったりハート付いてたり 「ねえコレって実際には脈あり？脈なし？」 グーグル先輩によるとない事もないらしい！？ 「隣街の海岸沿いは花火が上がるらしいよ」 そいつは行くしかねぇしチャンス二度とはねぇ この子逃せねぇならしっかり誘っとけ！ この意気地なしもやがていつか終わりがくるらしいよ かけるTEL夏の性駆け抜ける夕暮れ 「あのさ、もしよかったら」 I want you. Get you. ガムシャラなloveに夢うつつ 見栄えの悪い景色すらso good 目まぐるしく回る日々emotion 今年の夏は熱くなるよな 明日の天気は晴れになるかな この想いは変わらないから 君をずっと愛してるから 夏の日差しの下 まだ溶けないでかき氷 ビキニ似合うhoneyの隣 ハニカム 良い調子 いわく付きの103号室 ロビー check in 火照る君と僕とホテル “ベットタイムキャンディー” (2) 抱いて honey , partyは遠に , 終わり LINEの通知はスワイプ sunday morning 愛でfall in 影でこっそりとかね 安定志向でいくなら 2人 まず 海へ飛び込め 最終回の予定は 今の所ない 去年の 夏はさ 彼女が 欲しいとか ほざいてた あいつが手を引くのは俺が狙うgirl って お前も 惚れたか… これは手が焼けますなぁ 清掃員のポカリ 奪って 走り出したらあ！ 砂浜にて汗で濡れた髪が靡く君を想う ホッと 一息つく暇もないのねって もう 愛してんぜ 音色 your my baby アルコール5%くらいで酔っちゃう前に I want you. Get you. ガムシャラなloveに夢うつつ 見栄えの悪い景色すらso good 目まぐるしく回る日々emotion 今年の夏は熱くなるよな 明日の天気は晴れになるかな この想いは変わらないから 君をずっと愛してるから"
8,深海誘拐,"
Rin音",Rin音,Rin音・Shun Maruno,"twinkle spot is everything. Because I can relax in that place. If I drove you here to see the night. It's embarrassing, but I love you so much. 照れを隠してはしょうもない 包む恋の魔法は途方もない だけどfeeling ちょっとslowなtime 息が続かないよ あぁもう あぁもう まるでyellow submarine lunch time show も忘れないでよ こんなにも 君の隣で浮き足立つとは 二つの意味でさ不快だよ だけど僕たちなぜか愉快なの 君奪う深海誘拐倶楽部 外の世界は少し綺麗だよ good bye water town 甘すぎる君の好きなjelly beans 透かすビー玉の中に僕の街 生憎I need you Lupeで紙を燃やす 2step 居場所変わらずだな tune stay 余計は無用 びしょ濡れも悪くないんじゃない twinkle spot is everything. Because in that place you talk to me. When I drive you here to see the night. It's embarrassing, but I love you so much. working 今日は少しだけ so easy 不安は少しもない The waitress is my friend. 内緒さ つまり恋のキューピット Oh yes Oh yes Have you ever seen the movie“Yesterday”？ あの街はBeatlesいなくてさ 僕の街もスターがいないから なってやってもいいと思ってさ まさに高速移動 流れ星軌道 僕がマーリンで君はきっとニモ 眠たい時も楽しい時も 隣にいるとか 素敵な話だな good bye water town 甘すぎる君の好きなjelly beans 透かすビー玉の中に僕の街 生憎I need you Lupeで紙を燃やす 2step 居場所変わらずだな tune stay 余計は無用 びしょ濡れも悪くないんじゃない"
9,Sweet Melon feat. ICARUS,"
Rin音",Rin音・ICARUS,Rin音・maeshima soushi,今日はちょっとノリノリで 君と飛び降りて 知らない街でも行ってみたいさ あっという間にほら飴玉は溶けてく 瞬間はまるでさバブルタイム 僕の家で炊くお香や ゲーム中の小ジャンプ ハートすでにノックダウン 心カギを交換 いつにまして心寛大これは君のせいかな 今は何されても許せそうだな 壊れかけたブリキひとつ愛されてる握られてる 根拠ない優しさでもすがる程に愛してるのさ これほど愛したことはないよ 君の美しさは宝石みたいだ なんてにやけて言うくさいセリフごと 愛してほしいのさ milk coffeeにsugarを落とすくらい 甘く甘く影と踊る2人 メフィストフェレスもあっと驚くくらい 時間を飛ばして旅しよう 昼のコンビニで口ずさむメロディ 止まることなく溶け合う2人 アリストテレスも思い付かないような very sweet pop candy time baby君と居れば映画のワンシーンのように様変わりする僕の街 walk to city あっちこっち 煙草とiced coffee 僕には君がfavorite 永遠の物語 都会の夜のpasta shitも凌駕しちゃうfantasyさ 眠れない夜をかき消してくれ My love only you 他になんと言う きっと夢の中でもgood feel 街の喧騒も置き去り 乗り込むスペースシャトル 月のrabbitも追い越すよwith you 今日はどこに？ってそれは秘密だよ milk coffeeにsugarを落とすくらい 甘く甘く影と踊る2人 メフィストフェレスもあっと驚くくらい 時間を飛ばして旅しよう 昼のコンビニで口ずさむメロディ 止まることなく溶け合う2人 アリストテレスも思い付かないような very sweet pop candy time きっと夢の中でもgood feel 街の喧騒も置き去り 乗り込むスペースシャトル 月のrabbitも追い越すよwith you 今日はどこに？ってそれは秘密だよ milk coffeeにsugarを落とすくらい 甘く甘く影と踊る2人 メフィストフェレスもあっと驚くくらい 時間を飛ばして旅しよう 昼のコンビニで口ずさむメロディ 止まることなく溶け合う2人 アリストテレスも思い付かないような very sweet pop candy time 時計の針が少し止まるくらい きつくきつく抱きしめあう2人 メフィストフェレスもきっと許すくらい の笑顔のままで口づけを 夜のコンビニで口ずさむメロディ 少し照れくさくはにかむ2人 アリストテレスも恋に落ちちゃうような very sweet pop candy time
